[2016.10.15_01:42:37]: Polling 20 times per second
Starting camera with hflip=False, vflip=False, resolution=1920x1088, framerate=10

PRESS [ENTER] TO QUIT!

[2016.10.15_01:42:52]: steer | time since last face 3.02s
[2016.10.15_01:42:52]: STEER | TURNING: 94.7864583333
[2016.10.15_01:42:52]: obstc | Verified obstacle in 46.00cm
[2016.10.15_01:42:52]: motor | Last face detected 3.22s ago
[2016.10.15_01:42:52]: motor | Slowing down because no more face detected
[2016.10.15_01:42:52]: motor | obstacle in: 46cm
[2016.10.15_01:42:52]: motor | Slowing down because of obstacle
[2016.10.15_01:42:52]: MOTOR | FINAL DECISION SENT: 88.8571428571
[2016.10.15_01:42:52]: steer | time since last face 3.32s
[2016.10.15_01:42:52]: STEER | TURNING: 94.7864583333
[2016.10.15_01:42:52]: obstc | Verified obstacle in 46.00cm
[2016.10.15_01:42:52]: motor | Last face detected 3.57s ago
[2016.10.15_01:42:52]: motor | Slowing down because no more face detected
[2016.10.15_01:42:52]: motor | obstacle in: 46cm
[2016.10.15_01:42:52]: motor | Slowing down because of obstacle
[2016.10.15_01:42:52]: MOTOR | FINAL DECISION SENT: 88.8571428571
[2016.10.15_01:42:52]: steer | time since last face 3.60s
[2016.10.15_01:42:52]: STEER | TURNING: 94.7864583333
[2016.10.15_01:42:52]: obstc | Verified obstacle in 46.00cm
[2016.10.15_01:42:52]: motor | Last face detected 3.74s ago
[2016.10.15_01:42:52]: motor | Slowing down because no more face detected
[2016.10.15_01:42:52]: motor | obstacle in: 46cm
[2016.10.15_01:42:52]: motor | Slowing down because of obstacle
[2016.10.15_01:42:52]: MOTOR | FINAL DECISION SENT: 88.8571428571
[2016.10.15_01:42:52]: steer | time since last face 3.78s
[2016.10.15_01:42:53]: STEER | TURNING: 94.7864583333
[2016.10.15_01:42:53]: obstc | Verified obstacle in 46.00cm
[2016.10.15_01:42:53]: motor | Last face detected 3.96s ago
[2016.10.15_01:42:53]: motor | Slowing down because no more face detected
[2016.10.15_01:42:53]: motor | obstacle in: 46cm
[2016.10.15_01:42:53]: motor | Slowing down because of obstacle
[2016.10.15_01:42:53]: MOTOR | FINAL DECISION SENT: 88.8571428571
[2016.10.15_01:42:53]: steer | time since last face 4.00s
[2016.10.15_01:42:53]: STEER | TURNING: 94.7864583333
[2016.10.15_01:42:53]: obstc | Verified obstacle in 46.00cm
[2016.10.15_01:42:53]: motor | Last face detected 4.16s ago
[2016.10.15_01:42:53]: motor | Slowing down because no more face detected
[2016.10.15_01:42:53]: motor | obstacle in: 46cm
[2016.10.15_01:42:53]: motor | Slowing down because of obstacle
[2016.10.15_01:42:53]: MOTOR | FINAL DECISION SENT: 88.8571428571
[2016.10.15_01:42:53]: steer | time since last face 4.20s
[2016.10.15_01:42:53]: STEER | TURNING: 94.7864583333
[2016.10.15_01:42:53]: obstc | Verified obstacle in 46.00cm
[2016.10.15_01:42:53]: motor | Last face detected 4.38s ago
[2016.10.15_01:42:53]: motor | Slowing down because no more face detected
[2016.10.15_01:42:53]: motor | obstacle in: 46cm
[2016.10.15_01:42:53]: motor | Slowing down because of obstacle
[2016.10.15_01:42:53]: MOTOR | FINAL DECISION SENT: 88.8571428571
[2016.10.15_01:42:53]: steer | time since last face 4.47s
[2016.10.15_01:42:53]: STEER | TURNING: 94.7864583333
[2016.10.15_01:42:53]: obstc | Verified obstacle in 46.00cm
[2016.10.15_01:42:53]: motor | Last face detected 4.74s ago
[2016.10.15_01:42:53]: motor | Slowing down because no more face detected
[2016.10.15_01:42:53]: motor | obstacle in: 46cm
[2016.10.15_01:42:53]: motor | Slowing down because of obstacle
[2016.10.15_01:42:53]: MOTOR | FINAL DECISION SENT: 88.8571428571
[2016.10.15_01:42:53]: steer | time since last face 4.81s
[2016.10.15_01:42:54]: STEER | TURNING: 94.7864583333
[2016.10.15_01:42:54]: obstc | Verified obstacle in 46.00cm
[2016.10.15_01:42:54]: motor | Last face detected 4.98s ago
[2016.10.15_01:42:54]: motor | Slowing down because no more face detected
[2016.10.15_01:42:54]: motor | obstacle in: 46cm
[2016.10.15_01:42:54]: motor | Slowing down because of obstacle
[2016.10.15_01:42:54]: MOTOR | FINAL DECISION SENT: 88.8571428571
[2016.10.15_01:42:54]: steer | time since last face 5.01s
[2016.10.15_01:42:54]: STEER | TURNING: 94.7864583333
[2016.10.15_01:42:54]: faces | 1 new face(s) detected, nearest at 14.58%
[2016.10.15_01:42:54]: motor | Last face detected 0.00s ago
[2016.10.15_01:42:54]: motor | Speeding up!
[2016.10.15_01:42:54]: motor | obstacle in: 46cm
[2016.10.15_01:42:54]: motor | Slowing down because of obstacle
[2016.10.15_01:42:54]: MOTOR | FINAL DECISION SENT: 88.8571428571
[2016.10.15_01:42:54]: steer | time since last face 0.04s
[2016.10.15_01:42:54]: STEER | TURNING: 107.291666667
[2016.10.15_01:42:54]: obstc | Verified obstacle in 0.00cm
[2016.10.15_01:42:54]: motor | Last face detected 0.18s ago
[2016.10.15_01:42:54]: motor | Speeding up!
[2016.10.15_01:42:54]: motor | obstacle in: 0cm
[2016.10.15_01:42:54]: motor | !BREAKING! because of obstacle
[2016.10.15_01:42:54]: MOTOR | FINAL DECISION SENT: 150
[2016.10.15_01:42:54]: steer | time since last face 0.20s
[2016.10.15_01:42:54]: STEER | TURNING: 107.291666667
[2016.10.15_01:42:54]: obstc | Verified obstacle in 46.00cm
[2016.10.15_01:42:54]: motor | Last face detected 0.36s ago
[2016.10.15_01:42:54]: motor | Speeding up!
[2016.10.15_01:42:54]: motor | obstacle in: 46cm
[2016.10.15_01:42:54]: motor | Slowing down because of obstacle
[2016.10.15_01:42:54]: MOTOR | FINAL DECISION SENT: 88.8571428571
[2016.10.15_01:42:54]: steer | time since last face 0.39s
[2016.10.15_01:42:54]: STEER | TURNING: 107.291666667
[2016.10.15_01:42:54]: obstc | Verified obstacle in 45.00cm
[2016.10.15_01:42:54]: motor | Last face detected 0.56s ago
[2016.10.15_01:42:54]: motor | Speeding up!
[2016.10.15_01:42:54]: motor | obstacle in: 45cm
[2016.10.15_01:42:54]: motor | Slowing down because of obstacle
[2016.10.15_01:42:54]: MOTOR | FINAL DECISION SENT: 89.2857142857
[2016.10.15_01:42:54]: steer | time since last face 0.60s
[2016.10.15_01:42:54]: STEER | TURNING: 107.291666667
[2016.10.15_01:42:55]: obstc | Verified obstacle in 47.00cm
[2016.10.15_01:42:55]: motor | Last face detected 0.75s ago
[2016.10.15_01:42:55]: motor | Speeding up!
[2016.10.15_01:42:55]: motor | obstacle in: 47cm
[2016.10.15_01:42:55]: motor | Slowing down because of obstacle
[2016.10.15_01:42:55]: MOTOR | FINAL DECISION SENT: 88.4285714286
[2016.10.15_01:42:55]: steer | time since last face 0.79s
[2016.10.15_01:42:55]: STEER | TURNING: 107.291666667
[2016.10.15_01:42:55]: obstc | Verified obstacle in 46.00cm
[2016.10.15_01:42:55]: motor | Last face detected 0.99s ago
[2016.10.15_01:42:55]: motor | Speeding up!
[2016.10.15_01:42:55]: motor | obstacle in: 46cm
[2016.10.15_01:42:55]: motor | Slowing down because of obstacle
[2016.10.15_01:42:55]: MOTOR | FINAL DECISION SENT: 88.8571428571
[2016.10.15_01:42:55]: steer | time since last face 1.10s
[2016.10.15_01:42:55]: STEER | TURNING: 107.291666667
